               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.020412,           0.0077996,           0.0015104,             0.96429,                 0.9,             0.97693,              0.7297,           0.0061531,           0.0033375,          0.00099271,            0.008449,            0.008449,            0.008449
                  49,            0.018856,           0.0075854,           0.0017773,             0.97124,             0.99344,             0.99312,             0.80127,           0.0053462,            0.003203,          0.00098095,            0.008416,            0.008416,            0.008416
                  50,            0.020836,           0.0076808,           0.0012773,             0.97111,             0.99347,             0.99312,             0.75222,            0.007947,           0.0032627,          0.00093346,            0.008383,            0.008383,            0.008383
                  51,            0.023068,           0.0081228,           0.0014697,             0.96471,                 0.9,             0.96143,             0.84023,           0.0046252,           0.0029155,          0.00090249,             0.00835,             0.00835,             0.00835
                  52,            0.017461,           0.0072971,           0.0017693,             0.96099,                 0.9,             0.95156,             0.59066,           0.0084877,            0.003648,          0.00091508,            0.008317,            0.008317,            0.008317
                  53,            0.021012,           0.0077807,           0.0013292,             0.96827,                 0.9,             0.94306,             0.72917,            0.007567,           0.0033323,           0.0009552,            0.008284,            0.008284,            0.008284
                  54,             0.01955,           0.0076006,           0.0013448,             0.96382,                 0.9,             0.96002,             0.76398,           0.0067628,           0.0030972,           0.0009655,            0.008251,            0.008251,            0.008251
                  55,            0.019894,           0.0071741,           0.0016064,              0.9711,             0.99398,              0.9875,             0.70505,            0.004437,           0.0029926,           0.0009325,            0.008218,            0.008218,            0.008218
                  56,            0.018495,           0.0077169,           0.0021666,             0.95744,                 0.9,              0.9663,             0.73911,           0.0056842,           0.0032417,          0.00093797,            0.008185,            0.008185,            0.008185
                  57,             0.01799,           0.0072154,           0.0015565,             0.96821,                 0.9,              0.9774,             0.76487,           0.0071049,           0.0037753,          0.00091995,            0.008152,            0.008152,            0.008152
                  58,            0.016992,           0.0076406,           0.0023848,             0.96879,                 0.9,             0.96252,              0.7977,           0.0044882,           0.0031757,          0.00092958,            0.008119,            0.008119,            0.008119
