                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 0.5003,                0.77755,                0.94036,                0.76074,                0.63324,                0.56552,                0.52188,                0.43685,                0.57814,                 0.8396,             0.00099013,             0.00099013,             0.00099013
                     66,                0.50423,                0.77006,                0.93934,                0.75147,                0.56845,                0.56256,                0.52072,                0.41326,                0.65762,                0.83646,               0.000986,               0.000986,               0.000986
                     67,                0.51052,                0.81413,                0.92746,                0.68463,                0.53869,                0.58056,                 0.5345,                0.40175,                 0.6776,                0.82677,             0.00098187,             0.00098187,             0.00098187
                     68,                 0.4954,                0.77091,                0.93305,                0.74836,                0.57035,                0.54563,                0.49953,                0.41935,                0.58465,                0.83482,             0.00097775,             0.00097775,             0.00097775
                     69,                 0.5101,                0.77043,                0.93041,                0.75729,                0.56113,                0.58254,                0.54327,                0.40667,                 0.5745,                 0.8172,             0.00097362,             0.00097362,             0.00097362
                     70,                 0.5091,                0.75829,                0.93273,                0.78319,                0.67488,                 0.5935,                 0.5396,                0.44672,                 0.5683,                0.83287,              0.0009695,              0.0009695,              0.0009695
                     71,                 0.4897,                0.72101,                 0.9196,                0.65693,                0.66094,                0.56638,                0.52126,                0.43307,                0.66934,                0.83139,             0.00096537,             0.00096537,             0.00096537
                     72,                0.46975,                0.72839,                0.91182,                0.74725,                0.67788,                0.55477,                0.51365,                0.39017,                0.60299,                0.80928,             0.00096125,             0.00096125,             0.00096125
                     73,                0.48004,                0.74423,                0.91166,                0.77781,                0.65705,                 0.5927,                0.54509,                0.46909,                0.58192,                0.83294,             0.00095712,             0.00095712,             0.00095712
                     74,                0.48921,                 0.7438,                0.94014,                0.78284,                 0.5457,                0.55042,                0.51782,                0.36673,                0.61996,                0.81432,               0.000953,               0.000953,               0.000953
                     75,                0.47816,                0.70876,                0.92283,                0.74739,                0.62363,                 0.5788,                0.53764,                0.38657,                0.55095,                 0.8153,             0.00094887,             0.00094887,             0.00094887
                     76,                0.50038,                 0.7127,                0.93557,                0.68326,                0.64354,                  0.557,                0.50898,                0.40005,                 0.6769,                0.83487,             0.00094475,             0.00094475,             0.00094475
                     77,                0.46949,                0.69833,                0.91203,                0.75899,                0.66667,                0.61181,                0.55267,                 0.4119,                 0.6403,                0.82677,             0.00094062,             0.00094062,             0.00094062
                     78,                0.47814,                0.72304,                0.91394,                0.71832,                0.68794,                0.58123,                0.53654,                0.39176,                0.59835,                0.80669,              0.0009365,              0.0009365,              0.0009365
                     79,                0.48137,                0.71068,                0.90897,                0.68991,                0.65179,                0.60166,                0.55429,                0.36044,                0.68626,                0.81699,             0.00093238,             0.00093238,             0.00093238
                     80,                0.46714,                0.68954,                0.91105,                0.77265,                0.63622,                0.60399,                0.55969,                0.38141,                0.50162,                0.81774,             0.00092825,             0.00092825,             0.00092825
                     81,                0.47224,                0.69202,                0.90254,                 0.7965,                0.69277,                 0.6064,                0.55979,                0.38213,                0.53565,                0.81299,             0.00092413,             0.00092413,             0.00092413
                     82,                0.48059,                0.69053,                 0.9142,                0.79095,                0.61538,                0.61491,                0.56489,                0.40396,                0.50535,                0.81942,                0.00092,                0.00092,                0.00092
                     83,                0.48257,                0.71541,                0.91609,                0.74058,                0.65074,                0.55479,                 0.5103,                0.36528,                0.63808,                0.81602,             0.00091588,             0.00091588,             0.00091588
                     84,                0.48091,                0.69795,                0.91209,                 0.7963,                0.62799,                0.61498,                0.57714,                0.36965,                0.53246,                0.81028,             0.00091175,             0.00091175,             0.00091175
                     85,                0.45433,                0.68779,                 0.9029,                0.73508,                0.57372,                0.57383,                0.51885,                0.43071,                0.54566,                0.81804,             0.00090763,             0.00090763,             0.00090763
                     86,                 0.4671,                0.72487,                0.91511,                 0.7163,                0.58974,                0.53731,                0.48855,                0.40388,                0.65575,                0.81449,              0.0009035,              0.0009035,              0.0009035
                     87,                0.46286,                0.74154,                0.91207,                0.77339,                0.67358,                0.59268,                0.54626,                0.41452,                0.54358,                 0.8092,             0.00089938,             0.00089938,             0.00089938
                     88,                0.46051,                0.71586,                0.91229,                0.79781,                0.63324,                0.60672,                0.56611,                0.35504,                0.51474,                 0.8013,             0.00089525,             0.00089525,             0.00089525
                     89,                0.46045,                0.69862,                0.90332,                 0.7859,                0.67788,                0.60863,                0.56821,                 0.3537,                0.50216,                0.80008,             0.00089112,             0.00089112,             0.00089112
                     90,                0.47992,                0.69034,                0.91318,                0.77514,                0.70314,                0.58733,                  0.544,                0.40137,                0.57421,                0.82391,               0.000887,               0.000887,               0.000887
                     91,                0.47121,                0.66778,                0.91594,                0.79355,                0.63507,                0.59938,                 0.5479,                0.44949,                0.62332,                0.82857,             0.00088288,             0.00088288,             0.00088288
                     92,                0.45569,                  0.648,                0.90651,                0.75393,                0.70134,                 0.6094,                0.56191,                0.38489,                0.50842,                 0.8016,             0.00087875,             0.00087875,             0.00087875
                     93,                0.45876,                0.64807,                0.90039,                0.77545,                0.65414,                0.60807,                0.56583,                0.39914,                0.54121,                0.81053,             0.00087462,             0.00087462,             0.00087462
                     94,                0.45445,                0.68686,                0.90786,                0.78566,                0.66961,                0.60345,                 0.5558,                0.40813,                0.50832,                0.81444,              0.0008705,              0.0008705,              0.0008705
                     95,                 0.4501,                0.66667,                0.90577,                0.72109,                0.70833,                0.58127,                0.53276,                0.38714,                0.51261,                0.82075,             0.00086637,             0.00086637,             0.00086637
                     96,                0.46818,                0.65827,                0.90854,                0.77396,                0.67788,                0.59112,                0.55158,                 0.3572,                0.50554,                0.79833,             0.00086225,             0.00086225,             0.00086225
                     97,                0.45158,                0.65325,                0.90219,                0.81518,                0.62003,                0.59315,                0.55412,                 0.3593,                0.49185,                0.79592,             0.00085813,             0.00085813,             0.00085813
                     98,                0.45565,                0.66064,                 0.9152,                0.75189,                0.54991,                0.59232,                0.55166,                0.37138,                0.59988,                0.80871,               0.000854,               0.000854,               0.000854
                     99,                0.46322,                 0.6576,                0.91974,                0.76339,                0.70833,                0.61984,                0.57372,                0.36005,                0.49622,                0.80048,             0.00084988,             0.00084988,             0.00084988
                    100,                0.44822,                0.66288,                0.90911,                0.81478,                0.65408,                0.61941,                0.57208,                0.37577,                0.50547,                 0.8041,             0.00084575,             0.00084575,             0.00084575
                    101,                0.44187,                0.65176,                0.90504,                0.79611,                0.71955,                0.61328,                 0.5704,                0.35836,                0.47766,                0.80513,             0.00084162,             0.00084162,             0.00084162
                    102,                0.43518,                0.66182,                0.89604,                0.76654,                0.67967,                 0.6152,                0.57506,                0.34282,                0.47008,                0.79333,              0.0008375,              0.0008375,              0.0008375
                    103,                0.44821,                0.65921,                0.91128,                0.75254,                 0.6875,                0.58537,                0.54943,                0.37024,                0.48841,                0.80265,             0.00083337,             0.00083337,             0.00083337
                    104,                0.43978,                0.64319,                0.89382,                 0.7404,                0.73721,                0.55954,                0.52816,                0.36571,                0.54926,                0.79928,             0.00082925,             0.00082925,             0.00082925
                    105,                0.43903,                0.65157,                0.89368,                0.76588,                0.64657,                0.57203,                0.54099,                0.35558,                0.55105,                0.80268,             0.00082513,             0.00082513,             0.00082513
                    106,                0.44111,                0.63867,                0.90176,                0.75263,                0.64583,                0.60703,                0.56673,                0.37426,                0.46677,                0.79543,               0.000821,               0.000821,               0.000821
                    107,                0.43832,                0.62483,                0.89873,                 0.7442,                 0.5625,                0.60224,                0.56097,                0.36302,                 0.5107,                 0.7935,             0.00081688,             0.00081688,             0.00081688
                    108,                   0.44,                0.65724,                 0.9032,                0.76149,                0.73209,                 0.5877,                0.54744,                 0.3669,                0.53411,                0.80308,             0.00081275,             0.00081275,             0.00081275
                    109,                0.45208,                0.62764,                0.90898,                0.78665,                0.68271,                0.60424,                 0.5543,                0.39637,                0.51648,                0.81145,             0.00080863,             0.00080863,             0.00080863
                    110,                0.44127,                0.63771,                0.89954,                 0.7458,                0.69281,                0.62668,                0.59064,                 0.3516,                0.44249,                0.79207,              0.0008045,              0.0008045,              0.0008045
                    111,                0.45238,                0.64529,                 0.8909,                 0.8167,                0.63324,                0.61657,                0.57315,                0.39981,                0.47366,                0.80298,             0.00080038,             0.00080038,             0.00080038
                    112,                0.44951,                0.65281,                 0.8973,                 0.8023,                0.60646,                0.59327,                0.55534,                0.35834,                0.44927,                0.79288,             0.00079625,             0.00079625,             0.00079625
                    113,                0.41654,                0.61437,                 0.8863,                0.73169,                0.70833,                0.60212,                0.56596,                0.33922,                0.44978,                 0.7844,             0.00079213,             0.00079213,             0.00079213
                    114,                0.44375,                0.67952,                0.88979,                0.78666,                0.67272,                 0.5911,                0.55121,                0.35492,                0.50822,                0.79857,               0.000788,               0.000788,               0.000788
                    115,                0.45076,                0.65982,                0.89922,                0.80437,                0.64583,                0.62525,                 0.5812,                0.38648,                0.48569,                0.80353,             0.00078387,             0.00078387,             0.00078387
                    116,                0.44133,                0.64278,                0.88839,                0.77015,                0.70833,                0.62237,                 0.5764,                0.34908,                0.43274,                 0.7923,             0.00077975,             0.00077975,             0.00077975
                    117,                0.42403,                 0.6249,                0.89029,                0.76135,                0.66439,                0.56499,                0.53362,                0.33759,                0.57803,                0.79856,             0.00077563,             0.00077563,             0.00077563
                    118,                 0.4387,                0.62183,                0.87618,                0.76026,                0.67878,                0.57489,                0.53547,                0.37108,                0.60609,                0.80204,              0.0007715,              0.0007715,              0.0007715
                    119,                 0.4224,                0.57651,                0.87987,                0.72972,                0.70628,                 0.6139,                0.57772,                0.32961,                0.44233,                0.79638,             0.00076738,             0.00076738,             0.00076738
                    120,                0.44549,                0.58499,                0.90939,                0.78956,                0.65141,                0.60511,                0.56564,                0.33661,                0.45283,                0.79311,             0.00076325,             0.00076325,             0.00076325
                    121,                0.43099,                0.62147,                0.89306,                0.74236,                 0.6875,                0.61903,                0.57787,                0.34019,                0.46073,                0.79423,             0.00075912,             0.00075912,             0.00075912
                    122,                0.42775,                0.60503,                0.88658,                0.77445,                0.66369,                0.61505,                0.57552,                0.34635,                0.48311,                0.79422,               0.000755,               0.000755,               0.000755
                    123,                0.43392,                0.62601,                0.89883,                0.76654,                0.72489,                 0.6039,                0.55532,                0.34399,                0.47476,                  0.792,             0.00075088,             0.00075088,             0.00075088
                    124,                0.42652,                 0.6078,                0.89213,                0.78226,                0.67161,                0.58428,                0.54071,                0.34345,                0.50412,                0.79658,             0.00074675,             0.00074675,             0.00074675
                    125,                0.42943,                0.59052,                0.89431,                 0.8316,                0.66071,                 0.6267,                0.59412,                0.32752,                0.44535,                0.78187,             0.00074263,             0.00074263,             0.00074263
                    126,                0.43198,                0.59047,                0.88573,                0.82873,                0.65408,                0.61743,                 0.5859,                0.33098,                0.46261,                0.78519,              0.0007385,              0.0007385,              0.0007385
                    127,                0.41478,                0.59605,                0.88023,                0.77364,                0.72917,                0.64196,                0.60859,                0.32307,                0.41808,                0.78467,             0.00073437,             0.00073437,             0.00073437
                    128,                0.41574,                0.58679,                0.88379,                0.78407,                0.67788,                0.65907,                0.60369,                0.39371,                0.48534,                0.80567,             0.00073025,             0.00073025,             0.00073025
                    129,                 0.4163,                0.59159,                0.87385,                0.80901,                0.65253,                 0.6377,                 0.6073,                0.32127,                0.44732,                 0.7821,             0.00072612,             0.00072612,             0.00072612
                    130,                0.39898,                0.59366,                0.88294,                 0.8427,                 0.5974,                0.64701,                0.60036,                0.34327,                0.43101,                0.79405,               0.000722,               0.000722,               0.000722
                    131,                0.41495,                0.55572,                0.87886,                0.83157,                0.68452,                0.66535,                0.62816,                0.34019,                0.43813,                0.79519,             0.00071788,             0.00071788,             0.00071788
                    132,                0.43607,                0.59254,                0.89603,                0.77078,                0.69818,                0.57981,                0.54652,                0.32634,                0.54446,                0.78273,             0.00071375,             0.00071375,             0.00071375
                    133,                0.39849,                0.62667,                0.87794,                0.77864,                0.69643,                0.61055,                0.56925,                0.34321,                0.48657,                 0.7848,             0.00070962,             0.00070962,             0.00070962
                    134,                0.41149,                0.59667,                0.87563,                0.84558,                0.65387,                0.62425,                0.58622,                0.34176,                0.45857,                0.78913,              0.0007055,              0.0007055,              0.0007055
                    135,                0.42521,                0.60747,                0.89535,                0.80465,                0.64286,                0.69682,                0.63818,                 0.3515,                0.46117,                0.79167,             0.00070137,             0.00070137,             0.00070137
                    136,                0.41773,                0.57575,                0.89031,                0.80463,                 0.6875,                0.65982,                 0.6197,                0.35751,                0.42263,                0.80338,             0.00069725,             0.00069725,             0.00069725
                    137,                0.41992,                0.61165,                0.88516,                0.78629,                0.66667,                0.65268,                0.61574,                0.35045,                0.44564,                0.78336,             0.00069313,             0.00069313,             0.00069313
                    138,                0.42276,                0.63138,                0.89514,                0.81921,                0.66389,                  0.632,                0.59703,                0.32309,                0.45143,                0.78541,               0.000689,               0.000689,               0.000689
                    139,                0.43116,                0.58798,                0.89727,                0.79145,                0.66266,                0.60106,                0.55936,                0.35389,                 0.4748,                0.80179,             0.00068488,             0.00068488,             0.00068488
                    140,                0.42987,                0.58139,                0.89909,                0.77546,                0.69872,                0.62287,                0.58485,                0.33326,                0.43369,                0.78956,             0.00068075,             0.00068075,             0.00068075
                    141,                0.43082,                0.56753,                0.89118,                0.78787,                0.70169,                 0.5966,                0.56417,                0.32136,                0.52608,                0.78558,             0.00067663,             0.00067663,             0.00067663
                    142,                0.41983,                0.54962,                0.88451,                0.86393,                  0.625,                0.66988,                 0.6215,                0.32966,                0.39719,                0.78633,              0.0006725,              0.0006725,              0.0006725
                    143,                0.40865,                0.56802,                0.87606,                0.79836,                0.72057,                0.63624,                0.60095,                0.31925,                0.41975,                0.78512,             0.00066838,             0.00066838,             0.00066838
                    144,                0.40613,                0.57178,                0.87768,                0.80578,                0.64556,                0.60345,                 0.5643,                0.35178,                0.52082,                0.78681,             0.00066425,             0.00066425,             0.00066425
                    145,                0.41275,                0.59198,                0.90379,                0.79441,                0.65149,                 0.6048,                 0.5696,                0.33562,                0.53114,                0.78499,             0.00066013,             0.00066013,             0.00066013
                    146,                0.42586,                 0.5975,                0.88533,                0.76987,                0.68167,                0.61556,                0.57615,                0.34555,                0.42768,                0.78703,               0.000656,               0.000656,               0.000656
                    147,                0.40547,                0.55039,                0.87128,                0.73826,                0.71638,                0.57256,                0.54187,                 0.3263,                0.60021,                0.78467,             0.00065188,             0.00065188,             0.00065188
                    148,                0.39667,                0.60613,                0.87296,                0.79485,                0.64583,                0.60176,                0.56269,                 0.3467,                 0.4568,                0.78299,             0.00064775,             0.00064775,             0.00064775
                    149,                0.40435,                0.57773,                0.86553,                0.78924,                0.67233,                 0.6394,                0.60237,                0.32609,                 0.4175,                 0.7808,             0.00064362,             0.00064362,             0.00064362
                    150,                0.39622,                0.53776,                0.86897,                0.79789,                 0.6875,                0.64725,                 0.6105,                 0.3264,                0.41759,                0.77959,              0.0006395,              0.0006395,              0.0006395
                    151,                0.42153,                0.56517,                0.88616,                0.77581,                0.67262,                0.60417,                0.56652,                0.34634,                0.49792,                0.78669,             0.00063538,             0.00063538,             0.00063538
                    152,                0.40412,                 0.5748,                  0.887,                 0.8107,                0.68599,                0.60298,                0.57647,                0.31636,                0.45113,                0.77735,             0.00063125,             0.00063125,             0.00063125
                    153,                0.39355,                0.56494,                0.87254,                0.83798,                0.62493,                 0.6313,                 0.5937,                0.32157,                0.43841,                0.78066,             0.00062713,             0.00062713,             0.00062713
                    154,                0.40885,                0.54405,                0.87636,                0.82258,                0.66852,                0.63841,                0.60421,                0.34452,                0.44571,                0.78863,               0.000623,               0.000623,               0.000623
                    155,                0.42556,                 0.5549,                0.89624,                0.75161,                0.67146,                0.66138,                0.62893,                0.32169,                0.42883,                 0.7827,             0.00061887,             0.00061887,             0.00061887
                    156,                 0.4249,                0.57564,                0.88721,                0.85536,                0.62431,                0.64527,                0.60732,                0.33058,                0.45371,                0.78861,             0.00061475,             0.00061475,             0.00061475
                    157,                0.42601,                0.55959,                0.88319,                0.82874,                0.64024,                0.63736,                0.60433,                0.32411,                0.46113,                 0.7843,             0.00061062,             0.00061062,             0.00061062
